Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,Tasa
La Araucania,09,Pucon,09115,29782,-,-,-,4,5,5,5,6,20.1
La Araucania,09,Puren,09208,12188,-,-,-,-,-,-,2,2,16.4
La Araucania,09,Renaico,09209,10833,-,-,-,-,-,-,2,2,18.5
La Araucania,09,Saavedra,09116,12793,-,-,-,-,-,-,1,-,0.0
La Araucania,09,Temuco,09101,302931,154,225,293,365,407,443,471,506,167.0
La Araucania,09,Teodoro Schmidt,09117,15786,-,4,-,-,-,4,5,5,31.7
La Araucania,09,Tolten,09118,10055,-,-,4,5,7,7,7,6,59.7
La Araucania,09,Traiguen,09210,19314,-,-,-,-,-,-,2,2,10.4
La Araucania,09,Victoria,09211,35467,5,7,11,12,15,15,15,13,36.7
La Araucania,09,Vilcun,09119,30766,4,5,11,18,20,20,24,27,87.8
La Araucania,09,Villarrica,09120,59103,,4,6,11,15,15,18,19,32.1
La Araucania,09,Total,,1014343,203,343,432,562,669,712,795,826,81.4
,,,,,,,,,,,,,
Los Rios,14,Corral,14102,5447,-,-,-,-,-,-,-,1,18.4
Los Rios,14,Futrono,14202,15261,-,-,-,5,5,5,5,5,32.8
Los Rios,14,La Union,14201,39538,-,9,10,17,18,18,18,23,58.2
Los Rios,14,Lago Ranco,14203,10292,-,-,-,-,-,-,2,2,19.4
Los Rios,14,Lanco,14103,17652,-,-,-,-,-,-,2,4,22.7
Los Rios,14,Los Lagos,14104,20518,-,-,-,-,-,-,-,-,0.0
Los Rios,14,Mafil,14105,7389,-,-,-,-,-,-,1,1,13.5
Los Rios,14,Mariquina,14106,23250,-,-,-,6,8,8,8,9,38.7
Los Rios,14,Paillaco,14107,20798,-,-,-,-,-,-,1,1,4.8
Los Rios,14,Panguipulli,14108,35991,-,-,-,-,-,-,2,-,0.0
Los Rios,14,Rio Bueno,14204,32925,-,-,-,5,5,5,10,7,21.3
Los Rios,14,Valdivia,14101,176774,12,45,47,65,72,82,88,97,54.9
Los Rios,14,Total,,405835,16,64,78,104,114,124,138,150,37.0
,,,,,,,,,,,,,
Los Lagos,10,Ancud,10202,42458,-,-,-,-,-,-,3,3,7.1
Los Lagos,10,Calbuco,10102,36744,4,5,5,5,5,5,7,5,13.6
Los Lagos,10,Castro,10201,47607,-,-,-,4,6,7,7,7,14.7
Los Lagos,10,Chaiten,10401,5020,-,-,-,-,-,-,1,1,19.9
Los Lagos,10,Chonchi,10203,16013,-,-,-,-,-,-,-,-,0.0
Los Lagos,10,Cochamo,10103,4006,-,-,-,-,-,-,-,-,0.0
Los Lagos,10,Curaco de Velez,10204,4066,-,-,-,-,-,-,-,-,0.0
Los Lagos,10,Dalcahue,10205,15069,-,-,-,-,-,-,-,-,0.0
Los Lagos,10,Fresia,10104,12656,-,-,-,-,-,-,-,-,0.0
Los Lagos,10,Frutillar,10105,20223,-,-,-,-,-,-,5,6,29.7
